text,label
"si tu novia ya ha cagado en tu casa, es la indicada guau",-1
Urdabai patrocina @el_conquis ? Yo llevaría una camiseta de dentaduras perrunas #conquis6,-1
Amistad nivel: Compartir un audífono.,-1
¿Qué hace un tomate con capa y sombrero? Capitán Tomate. ¿Y qué hace una patata con capa y sombrero? Imitar al Capitán Tomate.,-1
"Aqui en Uruguay llueve, pero igual se disfruta del Circuito Desafiante ;) #Arenalol",-1
"Denuncian a Di María por hablar de los árbitros. No pasa nada, me quedan 20 jugadores más para seguir mandando a criticar a los árbitros.",-1
"Ahora sí... Antes comer que ser cristiano... Realmente lo que sea antes de ser cristiano, esa madre da hasta miedo",-1
yo te doy un 20 de 10,-1
"—Te amo.

—Aquí no vive.",-1
Típico : Escribir rápido la Contraseña para que no la vean y sin darte cuenta la escribes en usuario.,-1
Ya me urge ir al GYM para agarrar fuerza y aceptar que no me quieres.,-1
"—Estás llorando? —No, me lavo la cara .. Me quedé sin agua en Casa.",-1
"ABOGADO: -Mi cliente es serio, no bb no fuma no anda con mujeres ACUSADO: -Te pago pa q me dfiendas no pa q hables de otro by @Miksabelle",-1
"¿Me da una pizza de pepperoni? 
—Amigo, es un restaurante de comida china. 
—JAJA, q bruto estoy; me la una pilza de pepeloni, pol favol #XD",-1
una bronca tengoo,-1
"Una personas que hablé varios idiomas, en lo particular se me hace una persona sumamente interesante.",-1
"Detras de todo gran chiste, hay un pelotudo.",-1
"—¡Soy un arbolito de Navidad!
—¡Mamá!, el maricón de mi papá se volvió a pintar los huevos con tus cosméticos. #appCINEco",-1
"Flojera Nivel: Dormir hasta tarde, levantarse tarde y todavía dormir en la tarde.",-1
Mi niño es el mas lindo de todos 😍,-1
"Me preparé un café tan negro, que le hicieron una entrevista en Vice y ahora tiene su propia serie.",-1
—¿Por qué lloras? —Me acaban de mandar a la mierda... —¿Y no sabes llegar o qué?,-1
"La vida es un reto; vívela, siente, ama, ríe, llora, juega, gana, pierde, tropieza, pero siempre levántate y sigue.",-1
Que decepción,-1
"—Mamá, ¿Puedo salir ? —No. —¿Me das un calcetín? —Ok, toma. —EL AMO LE HA DADO A DOBBY UN CALCETÍN... ¡DOBBY ES LIBRE! #JAJAJA #HPQUOTES #XD",-1
Los hombres son como el cigarillo... primero se prenden y después... se hacen humo. #fb,-1
