Dimensiones,Representacion,Fitness_Evolutivo,F1_Test,Nodos_Finales,Conexiones_Finales,pop_size,node_add_prob,conn_add_prob,conn_delete_prob,compatibility_threshold,weight_mutate_rate,survival_threshold,num_inputs
0.3,WE,0.6272154909207779,0.4075142145217115,3,162,400,0.1,0.1,0.1,2.5,0.5,0.2,270
0.3,WE,0.610431084354706,0.4231324055522651,3,162,400,0.1,0.1,0.1,2.5,0.5,0.3,270
0.3,WE,0.5500008901372089,0.3744556497264362,4,162,400,0.1,0.1,0.1,2.5,0.5,0.5,270
0.3,WE,0.6326850854454886,0.41069074813862305,3,163,400,0.1,0.1,0.1,2.5,0.7,0.2,270
0.3,WE,0.5739990892531875,0.42548202529864376,3,161,400,0.1,0.1,0.1,2.5,0.7,0.3,270
0.3,WE,0.5272608238755779,0.36562208915502326,5,167,400,0.1,0.1,0.1,2.5,0.7,0.5,270
0.3,WE,0.6071994857834241,0.4533645794213539,4,162,400,0.1,0.1,0.1,2.5,0.9,0.2,270
0.3,WE,0.6026726519495086,0.383220995807763,3,162,400,0.1,0.1,0.1,2.5,0.9,0.3,270
0.3,WE,0.5885735344725745,0.459665675821017,3,160,400,0.1,0.1,0.1,2.5,0.9,0.5,270
0.3,WE,0.6212638651087933,0.42455014979113553,4,162,400,0.1,0.1,0.1,3.0,0.5,0.2,270
0.3,WE,0.5800625035740836,0.41947165451068075,3,162,400,0.1,0.1,0.1,3.0,0.5,0.3,270
0.3,WE,0.5308012422360249,0.42309027074947037,3,162,400,0.1,0.1,0.1,3.0,0.5,0.5,270
0.3,WE,0.5865821256038647,0.3654590775974273,3,165,400,0.1,0.1,0.1,3.0,0.7,0.2,270
0.3,WE,0.5651170323928945,0.4656545427266699,4,163,400,0.1,0.1,0.1,3.0,0.7,0.3,270
0.3,WE,0.5443458990843562,0.40804677447703447,5,165,400,0.1,0.1,0.1,3.0,0.7,0.5,270
0.3,WE,0.5641969696969696,0.3856631131432957,3,161,400,0.1,0.1,0.1,3.0,0.9,0.2,270
0.3,WE,0.5866444162570689,0.4370783592556878,3,162,400,0.1,0.1,0.1,3.0,0.9,0.3,270
0.3,WE,0.49535007585007584,0.39989977511598324,3,161,400,0.1,0.1,0.1,3.0,0.9,0.5,270
0.3,WE,0.5759573992254404,0.4909905742719965,4,162,400,0.1,0.1,0.1,5.0,0.5,0.2,270
0.3,WE,0.5703155797040217,0.382810787982717,3,157,400,0.1,0.1,0.1,5.0,0.5,0.3,270
0.3,WE,0.5417903563941299,0.47170290725403335,3,161,400,0.1,0.1,0.1,5.0,0.5,0.5,270
0.3,WE,0.5906843724048841,0.3985149047703432,4,166,400,0.1,0.1,0.1,5.0,0.7,0.2,270
0.3,WE,0.5321904761904761,0.4106578098687255,3,163,400,0.1,0.1,0.1,5.0,0.7,0.3,270
0.3,WE,0.53788911988912,0.40357215952283493,3,164,400,0.1,0.1,0.1,5.0,0.7,0.5,270
0.3,WE,0.5891105499438832,0.39482381798133764,3,155,400,0.1,0.1,0.1,5.0,0.9,0.2,270
0.3,WE,0.5485178598175076,0.4521500528080566,3,161,400,0.1,0.1,0.1,5.0,0.9,0.3,270
0.3,WE,0.5472635327635327,0.4104821253682494,7,171,400,0.1,0.1,0.1,5.0,0.9,0.5,270
