Configuracion,Cruza,Mutacion,Penalizacion,Elitismo,Ejecucion_No,Mejor_Fitness,Diversidad_Final,Peso_Final,Valor_Final
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,1,328.0,0.004929999999999993,50,328
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,2,288.0,0.0023099999999999987,50,288
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,3,331.0,0.001979999999999999,49,331
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,4,296.0,0.003946666666666663,50,296
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,5,329.0,0.01816666666666665,50,329
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,6,309.0,0.003279999999999997,50,309
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,7,327.0,0.0032999999999999982,49,327
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,8,315.0,0.0029699999999999982,50,315
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,9,328.0,0.004606666666666662,50,328
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,10,336.0,0.0023099999999999983,50,336
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,11,320.0,0.0036166666666666634,50,320
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,12,319.0,0.002303333333333331,50,319
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,13,338.0,0.0023099999999999987,50,338
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,14,331.0,0.003959999999999997,50,331
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,15,320.0,0.002963333333333331,50,320
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,16,325.0,0.0032933333333333304,49,325
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,17,310.0,0.004269999999999995,50,310
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,18,306.0,0.0029499999999999956,50,306
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,19,323.0,0.00934333333333334,50,323
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,20,335.0,0.005266666666666662,49,335
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,21,310.0,0.004276666666666663,50,310
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,22,320.0,0.0036233333333333304,50,320
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,23,325.0,0.004249999999999996,50,325
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,24,313.0,0.0023099999999999983,50,313
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,25,322.0,0.0036233333333333295,50,322
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,26,306.0,0.0039399999999999965,50,306
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,27,320.0,0.003286666666666664,49,320
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,28,324.0,0.0032933333333333304,50,324
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,29,327.0,0.005563333333333328,50,327
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,30,335.0,0.003946666666666663,50,335
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,31,339.0,0.0032866666666666626,50,339
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,32,289.0,0.0016433333333333313,50,289
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,33,332.0,0.0019799999999999987,50,332
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,34,321.0,0.00492333333333333,50,321
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,35,316.0,0.002969999999999998,50,316
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,36,343.0,0.004269999999999996,50,343
