Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Ejecución No.,Diversidad_Final
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,131630.03840826006,0,0.11684210526315787
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,128494.24497273193,1,0.1344736842105263
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,120751.89863980892,2,0.08921052631578946
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,129237.41906423008,3,0.09026315789473684
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,129861.03211618119,4,0.11973684210526316
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,124254.69591309749,5,0.0968421052631579
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,130406.70674923353,6,0.09368421052631579
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,125348.54761677471,7,0.11578947368421053
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,130334.8822432989,8,0.09657894736842106
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,127055.58926688819,9,0.12578947368421053
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,127313.33298074259,10,0.08394736842105263
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,134109.869011699,11,0.13131578947368422
