Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Ejecución No.,Diversidad_Final
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,122380.70577300366,0,0.06342105263157895
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,125426.76978170504,1,0.11289473684210527
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,132771.80032459355,2,0.12157894736842106
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,131479.60134670587,3,0.12394736842105264
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,121531.09732624098,4,0.11184210526315788
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,133843.44580102462,5,0.1242105263157895
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,127892.30174677899,6,0.10947368421052632
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,124113.2407243291,7,0.09868421052631579
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,122270.53169097118,8,0.09342105263157896
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,128514.62656651445,9,0.09526315789473686
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,131319.32866427294,10,0.07842105263157896
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,127603.52661149512,11,0.09736842105263159
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,126168.21700776032,12,0.11184210526315791
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,116372.07840421979,13,0.14605263157894735
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,123113.53956799697,14,0.08342105263157894
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,129662.98789972055,15,0.10736842105263157
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,128261.49467506059,16,0.11263157894736843
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,131352.0525380713,17,0.10052631578947369
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,124904.18545994886,18,0.12578947368421053
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,131386.29195972922,19,0.09447368421052632
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,116019.96023801951,20,0.1281578947368421
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,126618.78959370396,21,0.11342105263157894
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,131681.15302977394,22,0.09947368421052633
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,130146.42511611027,23,0.09842105263157895
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,124435.2737629216,24,0.11052631578947368
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,132603.2968019517,25,0.08815789473684209
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,116696.63720572853,26,0.10210526315789473
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,126165.09274552616,27,0.10552631578947368
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,122979.73318013524,28,0.11605263157894737
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,128881.65303492568,29,0.10842105263157893
