Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Ejecución No.,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_bordes | mutacion_insercion | mut:0.05 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.05,50,0,True,68450.71820521151,0.024473684210526325
cruce_bordes | mutacion_insercion | mut:0.05 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.05,50,1,True,71490.87914177928,0.004736842105263157
cruce_bordes | mutacion_insercion | mut:0.05 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.05,50,2,True,67588.36326662436,0.004736842105263159
cruce_bordes | mutacion_insercion | mut:0.05 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.05,50,3,True,78389.14803247074,0.02131578947368422
cruce_bordes | mutacion_insercion | mut:0.05 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.05,50,4,True,72031.78326204832,0.02236842105263158
cruce_bordes | mutacion_insercion | mut:0.05 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.05,50,5,True,69697.32253706611,0.0
cruce_bordes | mutacion_insercion | mut:0.05 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.05,50,6,True,69383.30536224888,0.018947368421052636
cruce_bordes | mutacion_insercion | mut:0.05 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.05,50,7,True,71855.92933813794,0.016578947368421054
cruce_bordes | mutacion_insercion | mut:0.05 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.05,50,8,True,68165.2255066758,0.003157894736842106
cruce_bordes | mutacion_insercion | mut:0.05 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.05,50,9,True,67552.68156416502,0.05578947368421052
cruce_bordes | mutacion_insercion | mut:0.05 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.05,50,10,True,68128.36055566472,0.08447368421052634
cruce_bordes | mutacion_insercion | mut:0.05 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.05,50,11,True,78782.02958824336,0.0023684210526315795
cruce_bordes | mutacion_insercion | mut:0.05 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.05,50,12,True,75597.34908996384,0.015000000000000005
