Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Ejecución No.,Diversidad_Final
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,125876.7272123845,0,0.07421052631578946
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,117315.49039508722,1,0.13842105263157894
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,126676.81488254895,2,0.09789473684210527
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,141839.42840070432,3,0.10078947368421051
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,133627.07657562778,4,0.08605263157894737
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,102585.12330830746,5,0.08894736842105262
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,124150.60282294266,6,0.08684210526315791
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,138694.7417565536,7,0.09552631578947367
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,137628.51283625234,8,0.10868421052631579
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,134438.27024612203,9,0.195
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,133364.12517934883,10,0.10605263157894736
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,113632.51909438265,11,0.06631578947368422
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,128995.44737562466,12,0.07894736842105263
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,139382.02524535026,13,0.07184210526315789
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,132559.1182354823,14,0.06078947368421053
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,137163.83587491693,15,0.13473684210526315
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,133309.30630448047,16,0.11
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,136202.4648803651,17,0.06184210526315789
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,126202.1927163009,18,0.16315789473684209
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,115045.41438981266,19,0.10894736842105264
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,125779.90341143543,20,0.18236842105263157
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,124244.86377646624,21,0.06578947368421052
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,127630.21798594453,22,0.0663157894736842
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,133389.61423808098,23,0.07921052631578948
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,129874.03462329024,24,0.22447368421052633
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,131911.2610699859,25,0.1518421052631579
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,134837.5124304675,26,0.085
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,130069.66592215418,27,0.08894736842105264
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,129986.16477018056,28,0.07578947368421052
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.05,50,True,119828.87609504852,29,0.06868421052631579
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,121480.51594141082,0,0.17394736842105263
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,128727.10176323201,1,0.18578947368421056
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,124093.72171173726,2,0.17473684210526316
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,135735.5750342009,3,0.08368421052631579
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,132322.12360264707,4,0.13157894736842107
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,130298.45043536578,5,0.09289473684210525
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,135033.80423465645,6,0.10289473684210527
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,132566.36902521312,7,0.13973684210526316
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,127904.89752444699,8,0.10921052631578947
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,130594.18915105831,9,0.13342105263157894
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,133368.6406687906,10,0.12342105263157896
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,117554.4792150215,11,0.13815789473684212
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,124245.34103006417,12,0.08657894736842105
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,119499.39521368753,13,0.11736842105263158
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,129308.93879479238,14,0.1118421052631579
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,131182.07548477687,15,0.09684210526315791
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,124470.91814356056,16,0.061052631578947365
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,136416.48159036634,17,0.1463157894736842
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,126043.92047527594,18,0.095
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,127732.33840772042,19,0.09
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,126245.6484040201,20,0.10578947368421053
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,129824.51273004682,21,0.09184210526315789
